humidite,Temperature
46,13
39,5
76,-6
47,-1
42,-10
88,12
43,-9
9,6
66,20
157,43
65,64
101,-19
136,-13
152,-10
32,19
70,1
196,44
115,54
22,26
46,70
182,-2
17,36
178,54
13,37
38,5
144,54
51,20
94,-13
44,-19
128,-6
172,53
22,65
134,49
53,46
192,29
155,12
171,35
198,75
125,19
173,33
94,48
27,14
50,5
185,58
100,0
34,-12
154,53
27,38
14,79
112,47
32,71
63,6
107,43
168,40
53,2
101,-1
79,68
54,70
92,6
197,7
110,-11
135,71
14,11
168,73
129,5
64,24
69,5
38,28
96,32
88,44
129,40
98,54
155,28
168,45
23,-16
13,51
128,35
122,41
21,51
106,34
135,47
178,71
140,-5
38,76
104,65
147,14
137,20
67,76
80,59
190,-16
126,32
73,66
132,34
121,35
165,54
54,8
78,27
128,59
29,63
71,48
181,15
87,-14
100,32
64,62
60,4
96,20
125,18
25,30
77,-19
171,48
113,62
27,54
42,74
195,39
129,80
33,31
65,6
12,-10
92,-19
181,-13
107,4
127,34
186,44
71,65
125,53
13,18
137,3
91,50
109,23
106,20
135,9
98,38
66,-9
118,-13
87,70
171,59
15,1
12,21
61,7
41,75
129,-5
48,8
94,41
96,31
45,-20
34,71
135,8
155,37
51,-20
30,-10
53,-13
53,-19
17,15
94,18
170,-14
24,0
56,59
83,35
41,-20
186,35
183,30
153,26
61,62
155,52
164,-1
169,61
29,65
153,-16
167,10
32,2
195,75
101,72
200,-16
10,-12
174,73
93,25
184,57
17,11
100,45
115,-6
13,53
15,32
44,25
31,30
15,39
65,39
70,-17
51,-18
189,59
76,80
165,5
186,78
150,-13
185,4
47,-9
75,52
12,38
198,11
99,58
147,69
88,-8
110,72
71,66
156,52
188,19
139,10
48,8
75,62
19,-16
160,-10
46,2
191,-14
139,71
150,-17
76,-4
25,12
128,18
175,61
124,76
187,9
66,71
165,80
130,-18
110,24
119,6
97,61
93,-2
25,56
88,59
86,75
132,45
106,-17
14,28